analysis,Hmax,CPU
bT1,0,Elapsed time: 1,
net1_snaq,1,Elapsed time: 1,
newtry1,1,Elapsed time: 8,
timetest01_snaq,1,Elapsed time: 1,
timetest02_snaq,1,Elapsed time: 3,
timetest03_snaq,1,Elapsed time: 1,
timetest04_snaq,1,Elapsed time: 2,
timetest05_snaq,1,Elapsed time: 2,
timetest06_snaq,1,Elapsed time: 3,
timetest07_snaq,1,Elapsed time: 2,
timetest08_snaq,1,Elapsed time: 5,
timetest09_snaq,1,Elapsed time: 3,
timetest10_snaq,1,Elapsed time: 2,
timetest11_snaq,1,Elapsed time: 6,
timetest12_snaq,1,Elapsed time: 1,
timetest13_snaq,1,Elapsed time: 3,
